department,date,shift,patient_admissions,opd_visits,bed_occupancy_rate,emergency_cases
Pediatrics,2026-01-06,night,23,81,49.6,5
Cardiology,2026-01-06,morning,24,93,84.0,7
Cardiology,2026-01-06,evening,22,87,72.9,4
Cardiology,2026-01-06,night,15,60,55.5,3
Emergency,2026-01-07,morning,52,186,89.2,20
Emergency,2026-01-07,evening,46,164,78.4,16
Emergency,2026-01-07,night,34,115,57.3,11
ICU,2026-01-07,morning,26,70,97.4,14
ICU,2026-01-07,evening,23,69,85.7,11
ICU,2026-01-07,night,19,46,63.7,8
Pediatrics,2026-01-07,morning,32,127,75.3,8
Pediatrics,2026-01-07,evening,29,117,66.5,7
Pediatrics,2026-01-07,night,23,80,48.2,5
Cardiology,2026-01-07,morning,24,98,83.1,7
Cardiology,2026-01-07,evening,22,87,71.6,4
Cardiology,2026-01-07,night,18,65,52.2,4
Emergency,2026-01-08,morning,51,183,85.3,18
Emergency,2026-01-08,evening,45,155,76.3,17
Emergency,2026-01-08,night,32,119,55.1,13
ICU,2026-01-08,morning,30,77,95.4,12
ICU,2026-01-08,evening,27,60,83.0,12
ICU,2026-01-08,night,16,44,61.9,9
Pediatrics,2026-01-08,morning,31,122,74.9,8
Pediatrics,2026-01-08,evening,31,115,66.1,7
Pediatrics,2026-01-08,night,22,84,48.8,4
Cardiology,2026-01-08,morning,26,93,82.1,6
Cardiology,2026-01-08,evening,23,81,72.7,4
Cardiology,2026-01-08,night,16,57,52.6,4
Emergency,2026-01-09,morning,49,181,84.2,17
Emergency,2026-01-09,evening,44,160,74.2,15
Emergency,2026-01-09,night,32,119,55.7,11
ICU,2026-01-09,morning,27,69,94.7,12
ICU,2026-01-09,evening,22,64,83.3,10
ICU,2026-01-09,night,17,44,61.3,9
Pediatrics,2026-01-09,morning,34,124,73.4,7
Pediatrics,2026-01-09,evening,29,105,65.4,5
Pediatrics,2026-01-09,night,21,83,47.7,5
Cardiology,2026-01-09,morning,21,94,79.3,7
Cardiology,2026-01-09,evening,20,85,71.6,4
Cardiology,2026-01-09,night,14,56,50.6,4
Emergency,2026-01-10,morning,48,168,82.2,17
Emergency,2026-01-10,evening,45,156,73.9,16
Emergency,2026-01-10,night,33,108,54.0,12
ICU,2026-01-10,morning,29,72,91.6,12
ICU,2026-01-10,evening,24,57,81.0,10
ICU,2026-01-10,night,18,42,58.5,7
Pediatrics,2026-01-10,morning,30,120,70.6,6
Pediatrics,2026-01-10,evening,26,105,64.3,6
Pediatrics,2026-01-10,night,19,78,48.2,4
Cardiology,2026-01-10,morning,23,95,76.8,7
Cardiology,2026-01-10,evening,19,76,69.9,5
Cardiology,2026-01-10,night,13,56,49.7,3
Emergency,2026-01-11,morning,49,170,81.5,17
Emergency,2026-01-11,evening,44,150,71.6,15
Emergency,2026-01-11,night,32,103,54.0,10
ICU,2026-01-11,morning,24,63,89.3,13
ICU,2026-01-11,evening,22,63,77.9,11
ICU,2026-01-11,night,15,49,58.6,8
Pediatrics,2026-01-11,morning,32,121,70.9,6
Pediatrics,2026-01-11,evening,29,102,62.1,5
Pediatrics,2026-01-11,night,20,74,46.4,5
Cardiology,2026-01-11,morning,21,89,77.3,4
Cardiology,2026-01-11,evening,18,72,65.4,6
Cardiology,2026-01-11,night,14,58,48.3,2
Emergency,2026-01-12,morning,48,166,79.2,17
Emergency,2026-01-12,evening,44,141,69.8,14
Emergency,2026-01-12,night,32,103,50.1,11
ICU,2026-01-12,morning,23,66,86.0,12
ICU,2026-01-12,evening,24,59,75.3,10
ICU,2026-01-12,night,15,43,55.2,8
Pediatrics,2026-01-12,morning,31,111,68.1,7
Pediatrics,2026-01-12,evening,26,99,60.0,4
Pediatrics,2026-01-12,night,17,73,45.3,3
Cardiology,2026-01-12,morning,23,90,72.5,4
Cardiology,2026-01-12,evening,19,75,65.4,4
Cardiology,2026-01-12,night,16,59,49.1,2
Emergency,2026-01-13,morning,48,160,77.8,17
Emergency,2026-01-13,evening,42,137,67.1,15
Emergency,2026-01-13,night,29,98,51.0,11
ICU,2026-01-13,morning,27,70,84.3,13
ICU,2026-01-13,evening,24,54,75.6,11
ICU,2026-01-13,night,18,37,55.9,8
Pediatrics,2026-01-13,morning,29,108,65.3,5
Pediatrics,2026-01-13,evening,26,95,58.3,5
Pediatrics,2026-01-13,night,21,68,45,5
Cardiology,2026-01-13,morning,23,89,71.6,5
Cardiology,2026-01-13,evening,17,76,64.6,5
Cardiology,2026-01-13,night,16,57,45.8,4
Emergency,2026-01-14,morning,44,159,75.2,15
Emergency,2026-01-14,evening,40,136,67.5,13
Emergency,2026-01-14,night,29,107,50.8,10
ICU,2026-01-14,morning,25,60,83.2,13
ICU,2026-01-14,evening,21,52,73.7,11
ICU,2026-01-14,night,15,38,54.5,7
Pediatrics,2026-01-14,morning,29,116,66.5,6
Pediatrics,2026-01-14,evening,28,101,56.7,5
Pediatrics,2026-01-14,night,17,74,45,5
Cardiology,2026-01-14,morning,19,81,71.8,5
Cardiology,2026-01-14,evening,20,72,62.6,4
Cardiology,2026-01-14,night,11,57,45.4,2
